Cod.;Nome;Totale A;Quantità A;Totale B;Quantità B;Andamento A/B
806P100300823;Vite x plasticafiletto 30 T.Cil.Croce Senza Punta INOXA2 3x8 Nerinox;1000,00;20000,00;1000,00;20000,00;
R40463;Cavo H03VV-F 02 X0,75 Nero 0 Bob.LE2 400 P120 D5,30 R001 STANDARD Cable;4816,00;19400,00;4816,00;19400,00;
WAGO 221-412;Connettore Wago 221-412;3621,50;13000,00;3621,50;13000,00;
HEP06079040N8;Passacavo standard (SB) PA66 F 7,9 (4,8) Nero;1462,50;12502,00;1462,50;12502,00;
NT20N BP500;CAVO FEP(RN) + GOMMA PCP NERA 2X 0.50;12900,00;10000,00;12900,00;10000,00;
Cavo Nero;Cavo FEP Nero 0.50;900,00;6000,00;900,00;6000,00;
Cavo Rosso;Cavo FEP Rosso 0.50;900,00;6000,00;900,00;6000,00;
LED Bat-2-PRO - LED MODULE;2700K warm white, 8leds per piece, 0.5M per pcs. PRO Version. (Same Bin LED: W24HG. 2550K~2850K);22800,00;2400,00;22800,00;2400,00;
IPLM600mA-PRO - LED MODULE;PIPISTRELLO LED Module 600 mA PRO Version Print the production date on the back: 06/2025;17760,00;2400,00;17760,00;2400,00;
IPLM500mA-PRO - LED MODULE;PIPISTRELLO LED Module 500 mA PRO Version Print the production date on the back: 06/2025;16280,00;2200,00;16280,00;2200,00;
LED Bat-1-PRO - LED MODULE;2700K warm white, 4leds per piece, 1M per pcs. PRO Version. (Same Bin LED: W24HG. 2650K~2750K );11660,00;2200,00;11660,00;2200,00;
CPU211-930;CIRCUITO PURALUCE (1 LED) 21mm 3W (700mA) 2,9Vdc 3000K CRI90;2996,80;2162,00;2996,80;2162,00;
LD350MA;Regolatore di corrente (10-26Vdc) 350mA 16,5*10*4mm;3256,00;1980,00;3256,00;1980,00;
CA12079_HEIDI-W2;CA12079_HEIDI-W2;1640,16;1836,00;1640,16;1836,00;
CPU101-930;CIRCUITO PURALUCE (1LED) 10mm 1,2W (350mA) 2,9Vdc 3000K CRI90;2040,00;1700,00;2040,00;1700,00;
CPU211-927;CIRCUITO PURALUCE (1 LED) ÃÂ21mm 3W (700mA) 2,9Vdc 2700K CRI>90;2195,20;1568,00;2195,20;1568,00;
CPU213-930;Circuito Puraluce (3 Led) 21mm 6W 8,7vdc 3000K CRI90;3016,00;1040,00;3016,00;1040,00;
NT20N 2X0,5;Cavo Fep + Gomma;1750,00;1000,00;1750,00;1000,00;
M.PCBMuSing-30;Montaggio PCB multichip singolo 3000K;346,00;860,00;346,00;860,00;
CPU445-930;CIRCUITO PURALUCE (7 LED) 44x5mm 1,2W 24Vdc 3000K CRI>90;960,00;800,00;960,00;800,00;
CPU4722-930;CIRCUITO PURALUCE (2 LED) 47x22mm (700mA) 5,8Vdc 3000K CRI90;1917,50;767,00;1917,50;767,00;
MULTICHIP SINGOLO;PCB Multichip Singolo;169,50;750,00;169,50;750,00;
MLNTSK1038;CAVO DMX 2X0,35 BLU/N/BIA;1400,00;700,00;1400,00;700,00;
SD103A08P08GR/51;SNODO D. 10 MM L=32,5/51 MM MASCHIO M8x1 + MASCHIO M8x1 IN OTTONE GREZZO;1527,00;700,00;1527,00;700,00;
SH163A10P10GR;SNODO HEAVY D. 16 mm L= 33 mm (A) MASCHIO M10X1 - (P) MASCHIO M10X1 GREZZO;3095,00;700,00;3095,00;700,00;
Montaggio PCB Bona 4 led;Montaggio PCB Bona 4 led;1251,00;642,00;1251,00;642,00;
M.PCBMuSing-27;Montaggio PCB multichip singolo 2700K;328,00;630,00;328,00;630,00;
RS-TS2835-24V-480D-20-20LEDStripLight;Strip Led 50W/mt 2700K 24V 5m/roll 480pcs SMD 2835 IP20 CRI>90 20mm white double layer (16leds/cut);3811,50;601,00;3811,50;601,00;
CIRCLE_4LED_v2;PCB BONA 4 LED;698,24;568,00;698,24;568,00;
WAGO 221-413;Connettore Wago 221-413;230,00;550,00;230,00;550,00;
WAGO 221-415;Connettore Wago 221-415;360,00;525,00;360,00;525,00;
NV4L144ART-SM303/E800R9050/0.5K;LED SMD 5050 1,5A SM30 3ST MINE800 R9050 T/R 500 PCS;965,00;500,00;965,00;500,00;
DK-22-25-LENS-H12;PMMA lens with sticker,φ21.2*11.8mm;175,00;500,00;175,00;500,00;
HD03-P1-R10R;1 COB Downlight Size:106mmD*43mmH Cutout:90-95mm LED: Philips COB 10W Lumen:100-105lm/W CRI:Ra>90 CCT:3000K Beam Angle: 60 deg Input Voltage: 220-240VAC Non-dimmable Driver:Lifud PF>0.9 IP:20 Warranty:5 years Finished color:White Trim+Ash Silver Heat Sink;3450,00;500,00;3450,00;500,00;
NV4L144ART-SM273 E800R9050-0,5K;LED SMD 5050 1.5A SM27 3ST MINE800 R9050 T/R 500 PCS;965,00;500,00;965,00;500,00;
100059/NUOVO;SNODO OTTONE 10X43 M8X1/M8X1 360-90°;868,50;450,00;868,50;450,00;
F15255_HEKLA-SOCKET-C.;Version compatible with COBs of 13.5 x 13.5 mm packages and max 11.6 mm LES size;68,20;440,00;68,20;440,00;
CA16204-GABRIELLA-MIDI-W;Lente Ledil (35°) CA16204-GABRIELLA-MIDI-W;1096,80;404,00;1096,80;404,00;
LED Bat-3-Red-PRO LED Module;2700K warm white, 6leds per piece, 0.6M per pcs. PRO Version. (Same Bin LED: W24HG. 2550K~2850K);3040,00;400,00;3040,00;400,00;
Picchetto Cap;Puntalino Ottone Brandy/Brandy Maxi/Shinstreet 12x30 FIL 10X1;745,00;400,00;745,00;400,00;
LED Bat-3-Black-PRO LED Module;2700K warm white, 6leds per piece, 0.6M per pcs. PRO Version. (Same Bin LED: W24HG. 2550K~2850K);3040,00;400,00;3040,00;400,00;
Picchetto Brandy/Brandy Maxi/Shinstreet;Tubo Ottone D.12X L.220;925,00;400,00;925,00;400,00;
IPLM700mA-PRO - LED MODULE;PIPISTRELLO LED Module 700 mA PRO Version Print the production date on the back: 06/2025;2960,00;400,00;2960,00;400,00;
LT-30-24;Alimentatore LT-30-24 ACTEC;2540,60;380,00;2540,60;380,00;
HD06-P4-F15R;4 SMD Downlight Size:180mmD*38mmH Cutout:160-165mm LED: Samsung SMD 15W Lumen:100-110lm/W CRI: Ra>90 CCT:3000K Beam Angle: 90Deg Input Voltage: 220-240V AC Non-dimmable Driver: Lifud PF>0.9 IP:20 Warranty: 5 years Finished Color:White Trim+Black Heat SinK;4218,00;370,00;4218,00;370,00;
CPU213-927;Circuito Puraluce (3 Led) 21mm 6W 8,7Vdc 2700K CRI90;1072,60;366,00;1072,60;366,00;
LD350MA-Micro;Regolatore di corrente (10-26Vdc) 350mA Micro;0,00;300,00;0,00;300,00;
Staffa L-profile H KA3535;Staffa L-profile H KA3535 con fori filettati M4;1410,00;300,00;1410,00;300,00;
LD700MA;REGOLATORE DI CORRENTE (10-26Vdc) 700mA 16,5x10x4mm;660,00;300,00;660,00;300,00;
Picchetto Shinino/Shinone - H200mm;Tubo Ottone M8X1;945,00;300,00;945,00;300,00;
RS-5CORE-SI-20-PVC LED Accessory;RGBW CABLE - Single-insulated 5-core cable UL 1007, 20AWG, 26/0.16TS*5CORE, Color: Black/Green/Red/Blue/White, PVC;186,00;300,00;186,00;300,00;
TL- COSMOS- 0703F;Cosmos7 - Ghiera Trimless;729,00;300,00;729,00;300,00;
CPU507-930;CIRCUITO PURALUCE (14LED) 50x7mm 3W 24Vdc 3000K CRI>90;390,00;300,00;390,00;300,00;
RE-COSMOS-0701F;Cosmos7 - Ghiera da Incasso;558,00;300,00;558,00;300,00;
Plisse;Scheda Plisse;621,00;282,00;621,00;282,00;
PRF-05926;PCB 2700K CRI 90 NICHIA JUPITER MINI SENZA CAVO;0,00;262,00;0,00;262,00;
LD700MA-IP;Regolatore di corrente (10-26Vdc) 700mA 16.5x10x4mm IP67;750,00;250,00;750,00;250,00;
CPU445-927;CIRCUITO PURALUCE (7 LED) 44x5mm 1,2W 24Vdc 2700K CRI>90;300,00;250,00;300,00;250,00;
LED-700mA;700mA LED board, diameter 74.5mm, 12V-700mA, constant current, Bridgelux 2835 4C7B 2700K;187,50;250,00;187,50;250,00;
mini-12-24;ALimentatore Mini 12W 24Vdc IP65;867,50;250,00;867,50;250,00;
MINI-4-24;Alimentatore MINI-4-24 ACTEC IP65;617,00;250,00;617,00;250,00;
CPU507-927;CIRCUITO PURALUCE (14LED) 50x7mm 3W 24Vdc 2700K CRI>90;312,00;240,00;312,00;240,00;
CLU028-0604C4-303H5K2;6W 757Lm(Tj85) 360mA CRI90 3000K;444,40;220,00;444,40;220,00;
CALAMEC;Faretto Calabrone;1540,00;220,00;1540,00;220,00;
PRF-05925;PCB 3000K CRI 90 NICHIA JUPITER MINI SENZA CAVO;0,00;208,00;0,00;208,00;
CPU211-922;CIRCUITO (1 LED) 21mm 3W (700mA) 2,9Vdc 2200K CRI90;288,40;206,00;288,40;206,00;
CA12536_HEIDI-M;CA12536_HEIDI-M;181,56;204,00;181,56;204,00;
DK-22-10-LENS-H12;PMMA lens with sticker, φ21.2*11.8mm;70,00;200,00;70,00;200,00;
NSQ0N;CV SILICONE(rnbl) + GOMMA NERA 4X 0.50;214,00;200,00;214,00;200,00;
DK-35-36-LENS-H24;PMMA Lens, φ37.5*24M;140,00;200,00;140,00;200,00;
DK-38-ZJ-H24;Holder:φ37.5*24.1MM;12,00;200,00;12,00;200,00;
V1;Dimmer push;1018,00;200,00;1018,00;200,00;
DA4-M;4 Channel Constant Voltage DALI LED Dimmer DT8;2260,00;200,00;2260,00;200,00;
LB4PIX114;Vetrino Brandy Glass;305,00;200,00;305,00;200,00;
CA16202_GABRIELLA-MIDI-S;Lente Ledil CA16202_GABRIELLA-MIDI-S;532,00;200,00;532,00;200,00;
LB4PIX105;Sfera Brandy Glass in ottone D. 60xH43;2100,00;200,00;2100,00;200,00;
SDA163A10P10GR;SNODO D. 16MM L=32,5 MM (A) MASCHIO M10x1 (P) MASCHIO M10x1 IN OTTONE GREZZO;475,00;200,00;475,00;200,00;
Scatola di cartone 40x30x15 BRANDIZZATA;Scatola di cartone 40x30x15 BRANDIZZATA;290,00;200,00;290,00;200,00;
-SL-06350;MICRO DRIVER LED 350mA;900,00;200,00;900,00;200,00;
E1-C;dimmer touch;570,00;200,00;570,00;200,00;
Scatola di cartone 60x40x40 BRANDIZZATA;Scatola di cartone 60x40x40 BRANDIZZATA;380,00;200,00;380,00;200,00;
Scatola di cartone 45x35x30 BRANDIZZATA;Scatola di cartone 45x35x30 BRANDIZZATA;340,00;200,00;340,00;200,00;
NT60N MM200;CV FEP + GOMMA NERA TD 6X 0,50 MMQ;716,00;200,00;716,00;200,00;
LT-100-24D;LT-100-24D;3582,40;195,00;3582,40;195,00;
CPU101-927;Circuito Puraluce (1LED) 10mm 1,2W (350mA) 2,9Vdc 2700 CRI90;218,40;182,00;218,40;182,00;
LT-150-24;Driver Slim 150W 230/24 IP20 doppio isolamento;2449,70;180,00;2449,70;180,00;
LT-75-24;Alimentatore 75w;1615,50;180,00;1615,50;180,00;
F14738_BROOKE-G2-S;F14738_BROOKE-G2-S;178,20;180,00;178,20;180,00;
Scotch Personalizzato Ombre AVANA;Scotch Personalizzato Ombre AVANA;351,00;180,00;351,00;180,00;
LB4PIX084A_01;Ghiera shinino ESTERNO;805,00;170,00;805,00;170,00;
RE-COSMOS-1801F;Ghiera Cosmos 18;389,30;170,00;389,30;170,00;
TL-COSMOS-1803F;Ghiera Trimless Cosmos18;436,90;170,00;436,90;170,00;
LT-200-24;Alimentatore LT-200-24;2802,20;170,00;2802,20;170,00;
Scatola di cartone 40x30x15;Scatola di cartone 40x30x15;180,20;170,00;180,20;170,00;
MINI-4-700;Alimentatore MINI-4-700 ACTEC IP65;335,50;150,00;335,50;150,00;
COSMOS-0701R 3000K/36°;Recessed spotlight Cosmos7, input Voltage: 220Vac - Power: 7W - CCT: 3000K - Beam angle: 36° - CRI>90 - IP20 - Finiture: White;1275,00;150,00;1275,00;150,00;
Staffa Shinino a parete;Staffa shinino a parete;750,00;150,00;750,00;150,00;
COSMOS-0701R 2700K/36°;Recessed spotlight Cosmos7, input Voltage: 220Vac - Power: 7W - CCT: 2700K - Beam angle: 36° - CRI>90 - IP20 - Finiture: White;1275,00;150,00;1275,00;150,00;
MINI-4-350;Alimentatore mini 4W 350mA IP65;303,50;150,00;303,50;150,00;
Staffa L-profile KA3535;Staffa L-profile KA3535 con fori filettati M4;585,00;150,00;585,00;150,00;
RE-COSMOS-1201F;Ghiera Cosmos 12;280,00;140,00;280,00;140,00;
TL-COSMOS-1203F;Ghiera Trimless Cosmos12;320,60;140,00;320,60;140,00;
LB4PIX083A_02;Base ape esterno Shinino;1050,00;140,00;1050,00;140,00;
Targhette ottone;Targhette ottone;0,00;140,00;0,00;140,00;
COSMOS12-TW;Faretto da incasso Cosmos12 Turnable White. Input Voltage: 220Vac - Power: 10W - CCT: 2700K/6000k - Beam angle: 36Â° - IP20 - CRI90 - Size:D44.7*H80mm - Cutout:38mm - Finitura: White;2660,00;140,00;2660,00;140,00;
E1-L+ED(C);Door sensor;873,60;140,00;873,60;140,00;
C.P.A. Bona 70;Cupola, piastra interna ed asta Bona 70;3310,00;135,00;3310,00;135,00;
LPV-60-24;Driver Meanwel 230/24 60W IP67;976,20;130,00;976,20;130,00;
LPV-100-24;Driver Meanwell 230/24Vdc 100W IP67;1565,80;130,00;1565,80;130,00;
C11602_Satu_M;Lente Ledil C11602_Satu_M;108,00;120,00;108,00;120,00;
SK-DA4-M;SK-DA4-M Dimmer DALY 4CH DT8;1356,00;120,00;1356,00;120,00;
UT-20W-24V;Driver AcTEC 20W out 24Vdc;403,20;120,00;403,20;120,00;
E1-D;sensore E1-D;335,70;120,00;335,70;120,00;
CPU211-950;CIRCUITO PURALUCE (1 LED) 21mm 3W (700mA) 2,9Vdc 5000K CRI90;158,20;113,00;158,20;113,00;
CPU213-940;Circuito Puraluce (3LED) 21mm 6W (500mA) 8.7 Vdc 4000K CRI>90;324,80;112,00;324,80;112,00;
CPU211-940;CIRCUITO PURALUCE (1 LED) 21mm 3W (700mA) 2,9Vdc 4000K CRI90;156,80;112,00;156,80;112,00;
LPV-35-24;Driver Meanweel 35W 230Vac/24Vdc IP67;737,50;110,00;737,50;110,00;
Targhetta;realizzata in acciaio Inox spazzolato, dimensioni 40x30mm, spessore 3mm;286,00;110,00;286,00;110,00;
MINID24-12;24V 12W TRIAC Dimming LED Driver (CV);0,00;110,00;0,00;110,00;
Scatola di cartone 45x35x25;Scatola di cartone 45x35x25;129,80;110,00;129,80;110,00;
Scotch Neutro AVANA;Scotch Neutro AVANA;156,60;108,00;156,60;108,00;
LT-150-24D;Dali Driver Slim 150W 230/24 IP20;1998,65;105,00;1998,65;105,00;
G-VELOP-15-L;Lamiera inox AISI 441 spess. 1.5 mm grezza;"Lamiera inox AISI 441 spess. 2.5 mm grezza; "Tubo inox AISI 304 60x60x1.5";3232,00;101,00;3232,00;101,00;
LB4PIX106;Tappo pallina ottone Brandy Glass;620,00;100,00;620,00;100,00;
JD-CD43;Garden spotlight, Material: Aluminum housing with spike, Lamp color: black, Lamp size: Φ43H245mm, Input Voltage: DC24V, LED chip: Epistar COB 3W, Beam angle: 24°, LED Color: 3000K, IP Rate: IP65, Cable out: 2 meters 20.75mm² rubber cable without connector;393,00;100,00;393,00;100,00;
LB4PIX119;Sfera Brandy Maxi;2185,00;100,00;2185,00;100,00;
CPU101-RGB;CIRCUITO PURALUCE (1LED) 10mm 1,2W (350mA) 2,9Vdc RGB CRI90;120,00;100,00;120,00;100,00;
AS2525-MC;Mounting Clip;15,00;100,00;15,00;100,00;
LB4PIX120;Ghiera Brandy Maxi;1500,00;100,00;1500,00;100,00;
ghiera inox;ghiera inox;480,00;100,00;480,00;100,00;
UT24W-30W;Alimentatore UT24W-30W;569,00;100,00;569,00;100,00;
CPU101-940;CIRCUITO PURALUCE (1 LED) Ø10mm 1,2W (350mA) 2,9Vdc 4000K CRI>90;120,00;100,00;120,00;100,00;
DISCO BONA DIAM. 55;DISCO BONA DIAM. 55;200,00;100,00;200,00;100,00;
CA16205_GABRIELLA-MIDI-O;Lente Ledil CA16205_GABRIELLA-MIDI-O 12+40° oval beam with holder and installation tape;0,00;100,00;0,00;100,00;
CUPOLABONA120;Cupola per lampada BONA 120;2400,00;100,00;2400,00;100,00;
SST01;Basetta Shinstreet/Shinone;380,00;100,00;380,00;100,00;
LB4PIX106_06;Fondo Brandy glass;580,00;100,00;580,00;100,00;
1200ENSTAR-XML-RGB-BI2;Strar RGBW high power (White 4000K) led no dome;925,00;100,00;925,00;100,00;
SST02;Vetrino Shinstreet/Shinone;160,00;100,00;160,00;100,00;
EOW7600-00-31 ADATTATORE ELETR/MECC LKM 6A 10KG BIANCO (IVELA);EOW7600-00-31 ADATTATORE ELETR/MECC LKM 6A 10KG BIANCO (IVELA);683,00;100,00;683,00;100,00;
LEG031900;ATTACCHI A COLLARE CON BASE GRIGIA;37,00;100,00;37,00;100,00;
SST03;Ghiera Shinstreet;510,00;100,00;510,00;100,00;
LB4PIX194_1;Lente esterno shinino;120,00;100,00;120,00;100,00;
LB4PIX122A;Bicchierino Brandy Maxi;380,00;100,00;380,00;100,00;
Scatola di cartone 2530x25x19 BRANDIZZATA;Scatola di cartone 2530x25x19 BRANDIZZATA;480,00;100,00;480,00;100,00;
COSMOS-1803R  3000K/36°;Recessed spotlight Cosmos18, input Voltage: 220Vac - Power: 18W - CCT: 3000K - Beam angle: 36° - CRI>90 - IP20 - Finiture: White;886,00;100,00;886,00;100,00;
SST04;Visor Shinstreet;100,00;100,00;100,00;100,00;
LB4PIX083_01MC;Base Ape Mini Camera;100,00;100,00;100,00;100,00;
UT-30-24 slim line;Alimentatore 30W 24V;522,00;100,00;522,00;100,00;
CPU4722-927;CIRCUITO PURALUCE (2 LED) 47x22mm (700mA) 5,8Vdc 2700K CRI90;240,00;96,00;240,00;96,00;
CPU101-BLU;Circuito 1 Led 10mm 1,2W 350mA 2.9Vdc BLU;108,00;90,00;108,00;90,00;
F14739_BROOKE-G2-M;Parabola Ledil 30° 45mm;92,70;90,00;92,70;90,00;
PCB Multichip Singolo assemblato;PCB Multichip Singolo assemblato;282,60;90,00;282,60;90,00;
GEWDX30016;DF 16G GUAINA GRIGIA;77,40;90,00;77,40;90,00;
D4-L;Convertitore DMX 4 canali per strip led RGBW;1184,88;88,00;1184,88;88,00;
ELG-75-24DA-3Y;ELG-75-24DA-3Y;1843,30;87,00;1843,30;87,00;
Mon.PAR4;Montaggio PAR4;0,00;86,00;0,00;86,00;
C.P.A. Bona 120;Cupola, piastra interna ed asta Bona 120;2450,00;85,00;2450,00;85,00;
M20-T1P-50D-10-TW-DALI;Proiettore da binario fissaggio rapido Tunable White. Input Voltage: 48Vdc - Power:10W - CCT: 2700K/6000K - Beam angle: 36Â°- Size:D50xL100mm - Finitura: Full White/Black;1997,50;85,00;1997,50;85,00;
Scatola di cartone 60x40x40;Scatola di cartone 60x40x40;116,00;80,00;116,00;80,00;
XLG-75-24-A;Driver LED 230Vac/24Vdc 75W IP67;1012,80;80,00;1012,80;80,00;
MINI-6-350;350mA 6W LED Driver (CC);60,30;80,00;60,30;80,00;
YD-QMZ10073 IP65;Recessed spotlight (Aria) Input Voltage: 220Vac - Power: 20W - CCT: 3000K - Beam angle: 24° - CRI90 - IP65;675,00;75,00;675,00;75,00;
LT-75-24D;Driver 75W 230Vac/24Vdc Dali;1178,29;70,00;1178,29;70,00;
NS-115 Accessories - Aluminum Profile L=1m;NS-115 Accessories - Aluminum Profile L=1m;210,00;70,00;210,00;70,00;
RS-LL1010LEDAccessory(9405920000);Alluminum Profile for 10*10 Neon;133,00;70,00;133,00;70,00;
OX-TD5245;Small downlight - Sizes: Ø52*H68,Cut-out:Ø45, 7W White 9010 3000K Lens 36° CRI>90 IP20,with CREE COB and Eaglerise,without driver;283,04;61,00;283,04;61,00;
ELG-150-24DA-3Y;Alimentatore Dali 150W;1516,00;60,00;1516,00;60,00;
P66D-DL2-01;Dali boards for spotlights  -  Input voltage: 24/48VDC Output Voltage: 3-20/3-40VDC Output current: 150mA Dimming: DALI Dimensions: L62xW13.2xH8mm;468,00;60,00;468,00;60,00;
SL22HE3000K;Strip Led 21.6W 3000K IP20, Bobine da 5m;1290,00;60,00;1290,00;60,00;
WAGO 221-2411;Connettore Wago 221-2411;0,00;60,00;0,00;60,00;
